Run_ID,t,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,Drive,Snap,Glare
EX-001-R008,0.000000,0.000000,0.010000,0.000000,0.000000,0.600000,0.000000,0.000000,1.000000,0.000000
EX-001-R008,0.016667,0.000083,0.027900,0.000083,0.005000,1.073995,0.005000,0.008333,0.999991,0.008333
EX-001-R008,0.033333,0.000316,0.051940,0.000316,0.013949,1.442435,0.013949,0.016666,0.999965,0.016665
EX-001-R008,0.050000,0.000749,0.080653,0.000749,0.025969,1.722737,0.025967,0.024997,0.999922,0.024995
EX-001-R008,0.066667,0.001421,0.112815,0.001421,0.040322,1.929714,0.040318,0.033327,0.999861,0.033323
EX-001-R008,0.083333,0.002361,0.147414,0.002360,0.056398,2.075953,0.056389,0.041655,0.999783,0.041646
EX-001-R008,0.100000,0.003589,0.183616,0.003588,0.073689,2.172126,0.073673,0.049979,0.999688,0.049964
EX-001-R008,0.116667,0.005118,0.220737,0.005117,0.091778,2.227276,0.091751,0.058300,0.999575,0.058275
EX-001-R008,0.133333,0.006957,0.258221,0.006955,0.110322,2.249045,0.110279,0.066617,0.999444,0.066580
EX-001-R008,0.150000,0.009108,0.295619,0.009105,0.129041,2.243882,0.128976,0.074930,0.999297,0.074877
EX-001-R008,0.166667,0.011570,0.332573,0.011565,0.147710,2.217213,0.147616,0.083237,0.999132,0.083165
EX-001-R008,0.183333,0.014339,0.368800,0.014332,0.166150,2.173596,0.166019,0.091538,0.998950,0.091442
EX-001-R008,0.200000,0.017409,0.404080,0.017400,0.184216,2.116848,0.184041,0.099833,0.998750,0.099709
EX-001-R008,0.216667,0.020772,0.438249,0.020759,0.201801,2.050150,0.201571,0.108122,0.998533,0.107963
EX-001-R008,0.233333,0.024419,0.471185,0.024401,0.218818,1.976150,0.218524,0.116402,0.998299,0.116204
EX-001-R008,0.250000,0.028340,0.502803,0.028315,0.235208,1.897037,0.234837,0.124675,0.998048,0.124431
EX-001-R008,0.266667,0.032522,0.533046,0.032490,0.250926,1.814615,0.250467,0.132939,0.997779,0.132643
EX-001-R008,0.283333,0.036954,0.561886,0.036913,0.265944,1.730360,0.265383,0.141193,0.997492,0.140839
EX-001-R008,0.300000,0.041625,0.589310,0.041572,0.280245,1.645470,0.279570,0.149438,0.997189,0.149018
EX-001-R008,0.316667,0.046522,0.615325,0.046456,0.293825,1.560911,0.293020,0.157673,0.996868,0.157179
EX-001-R008,0.333333,0.051633,0.639949,0.051551,0.306685,1.477451,0.305734,0.165896,0.996530,0.165320
EX-001-R008,0.350000,0.056947,0.663211,0.056847,0.318833,1.395696,0.317722,0.174108,0.996174,0.173442
EX-001-R008,0.366667,0.062452,0.685146,0.062330,0.330283,1.316111,0.328995,0.182308,0.995802,0.181543
EX-001-R008,0.383333,0.068136,0.705797,0.067990,0.341052,1.239048,0.339571,0.190495,0.995411,0.189621
EX-001-R008,0.400000,0.073989,0.725210,0.073814,0.351162,1.164763,0.349469,0.198669,0.995004,0.197677
